Nome;Squadra;Ruolo;Media_Voto;Fantamedia;Quotazione;Partite_Voto
Sergi Roberto;Como;Difensore;6.05;6.0;5.0;10
Sherri;Cagliari;Portiere;5.83;4.33;4.0;6
Shomurodov;Roma;Attaccante;6.08;6.75;8.0;6
Shpendi S.;Empoli;Attaccante;0.0;0.0;;0
Siegrist;Genoa;Portiere;0.0;0.0;1.0;0
Silvestri;Empoli;Portiere;0.0;0.0;1.0;0
Simeone;Napoli;Attaccante;6.0;6.33;10.0;12
Skorupski;Bologna;Portiere;6.13;4.97;12.0;15
Slotsager;Verona;Difensore;0.0;0.0;1.0;0
Smalling;Roma;Difensore;0.0;0.0;;0
Smolcic I.;Como;Difensore;6.0;6.0;2.0;1
Sohm;Parma;Centrocampista;6.04;6.35;14.0;23
Solbakken;Empoli;Attaccante;5.69;5.65;2.0;13
Solet;Udinese;Difensore;6.25;6.25;6.0;4
Sommariva;Genoa;Portiere;0.0;0.0;1.0;0
Sommer;Inter;Portiere;6.11;5.28;16.0;23
Sorrentino A.;Monza;Portiere;0.0;0.0;;0
Sosa B.;Torino;Difensore;5.72;5.72;5.0;16
Sottil;Milan;Centrocampista;6.0;6.22;10.0;16
Soule';Roma;Attaccante;5.78;6.06;5.0;9
Spinazzola;Napoli;Difensore;6.12;6.42;9.0;12
Sportiello;Milan;Portiere;0.0;0.0;1.0;0
Stankovic F.;Venezia;Portiere;6.6;5.23;15.0;15
Stojanovic;Empoli;Difensore;0.0;0.0;;0
Stolz;Genoa;Portiere;0.0;0.0;;0
Strefezza;Como;Centrocampista;6.26;6.72;20.0;23
Success;Udinese;Attaccante;0.0;0.0;;0
Sulemana I.;Atalanta;Centrocampista;6.0;6.0;1.0;1
Suslov;Verona;Centrocampista;5.82;5.7;6.0;20
Suzuki;Parma;Portiere;6.11;4.39;8.0;22
Sverko;Venezia;Difensore;5.77;5.88;5.0;13
Svilar;Roma;Portiere;6.22;4.93;12.0;23
Svoboda;Venezia;Difensore;5.69;5.84;5.0;16
Tameze;Torino;Centrocampista;5.92;5.85;5.0;13
Taremi;Inter;Attaccante;6.05;6.36;8.0;11
Tavares N.;Lazio;Difensore;6.31;6.62;16.0;16
Tavsan;Verona;Attaccante;0.0;0.0;;0
Tchaouna;Lazio;Centrocampista;5.64;5.71;4.0;14
Tchatchoua;Verona;Difensore;5.81;6.02;9.0;21
Tengstedt;Verona;Attaccante;5.95;6.89;20.0;19
Terracciano;Fiorentina;Portiere;6.17;5.17;2.0;3
Terracciano F.;Milan;Difensore;5.71;5.57;2.0;7
Tessmann;Venezia;Centrocampista;0.0;0.0;;0
Tete Morente;Lecce;Centrocampista;5.92;6.42;13.0;18
Thauvin;Udinese;Attaccante;6.21;6.84;21.0;19
Thiaw;Milan;Difensore;5.81;5.62;4.0;13
Thorsby;Genoa;Centrocampista;5.81;5.79;6.0;21
Thuram;Inter;Attaccante;6.52;8.37;40.0;23
Thuram K.;Juventus;Centrocampista;6.38;6.82;19.0;20
Tiago Gabriel;Lecce;Difensore;0.0;0.0;1.0;0
Toloi;Atalanta;Difensore;5.5;5.5;2.0;3
Tomori;Milan;Difensore;5.85;5.8;7.0;10
Torriani;Milan;Portiere;0.0;0.0;1.0;0
Toure' E.;Atalanta;Attaccante;0.0;0.0;;0
Toure' I.s.;Udinese;Difensore;5.59;5.41;3.0;11
Turati;Monza;Portiere;6.32;5.0;13.0;20
Urbanski;Monza;Centrocampista;5.93;6.21;6.0;7
Valenti;Parma;Difensore;6.0;6.25;10.0;8
Valentini N.;Verona;Difensore;0.0;0.0;2.0;0
Valeri;Parma;Difensore;5.89;6.32;13.0;19
Valle;Como;Difensore;5.75;5.5;3.0;2
Valoti;Monza;Centrocampista;6.0;5.5;;1
Van Der Brempt;Como;Difensore;5.96;5.92;5.0;13
Varane;Como;Difensore;0.0;0.0;;0
Vasquez;Genoa;Difensore;5.95;5.95;8.0;22
Vasquez D.;Empoli;Portiere;6.05;4.77;11.0;22
Vecino;Lazio;Centrocampista;6.17;6.5;9.0;9
Veiga D.;Lecce;Difensore;0.0;0.0;2.0;0
Veiga R.;Juventus;Centrocampista;6.25;6.25;4.0;2
Verdi;Como;Centrocampista;5.75;5.62;;4
Veroli;Cagliari;Difensore;0.0;0.0;;0
Vignato S.;Monza;Centrocampista;5.72;5.72;2.0;9
Vigorito;Como;Portiere;0.0;0.0;1.0;0
Viola;Cagliari;Centrocampista;5.84;6.06;9.0;16
