Nome;Squadra;Ruolo;Media_Voto;Fantamedia;Quotazione;Partite_Voto
Kossounou;Atalanta;D;5.95;5.91;6.0;11
Solet;Udinese;D;6.25;6.25;6.0;4
Rensch;Roma;D;6.25;6.25;6.0;2
Kelly L.;Juventus;D;5.5;5.5;6.0;1
Kolasinac;Atalanta;D;6.0;5.78;5.0;16
Moreno Alb.;Como;D;5.91;5.79;5.0;17
Walukiewicz;Torino;D;5.81;5.69;5.0;16
Biraghi;Torino;D;5.75;6.17;5.0;6
Bani;Genoa;D;5.82;5.75;5.0;14
Rugani;Juventus;D;0.0;0.0;;0
Cabal;Juventus;D;6.33;6.25;5.0;6
Romagnoli;Lazio;D;5.76;5.68;5.0;19
Pellegrini Lu.;Lazio;D;6.0;5.91;5.0;11
Baschirotto;Lecce;D;5.74;5.7;5.0;23
Mari';Fiorentina;D;5.84;5.74;5.0;19
Juan Jesus;Napoli;D;5.81;5.88;5.0;8
Celik;Roma;D;5.68;5.68;5.0;19
Kabasele;Udinese;D;5.69;5.92;5.0;13
Svoboda;Venezia;D;5.69;5.84;5.0;16
Sverko;Venezia;D;5.77;5.88;5.0;13
Coppola D.;Verona;D;5.68;5.68;5.0;19
Palomino;Cagliari;D;5.75;6.06;5.0;8
Sosa B.;Torino;D;5.72;5.72;5.0;16
Sergi Roberto;Como;D;6.05;6.0;5.0;10
Jean;Lecce;D;5.77;5.77;5.0;11
Van Der Brempt;Como;D;5.96;5.92;5.0;13
Bakker;Atalanta;D;6.0;6.0;;1
Di Pardo;Cagliari;D;0.0;0.0;;0
Stojanovic;Empoli;D;0.0;0.0;;0
Thiaw;Milan;D;5.81;5.62;4.0;13
Izzo;Monza;D;5.62;5.45;4.0;20
Carboni A.;Monza;D;5.56;5.56;4.0;18
Natan;Napoli;D;0.0;0.0;;0
Vojvoda;Como;D;5.82;5.71;4.0;17
Kristensen T.;Udinese;D;5.59;5.45;4.0;11
Ferreira J.;Udinese;D;0.0;0.0;;0
Altare;Venezia;D;6.0;5.75;;12
Ghilardi;Verona;D;5.77;5.62;4.0;13
Erlic;Bologna;D;6.25;6.25;4.0;4
Haps;Venezia;D;5.7;5.6;4.0;15
Pedersen;Torino;D;5.65;5.56;4.0;17
Guilbert;Lecce;D;5.61;5.44;4.0;18
Hummels;Roma;D;6.0;5.72;4.0;9
Alberto Costa;Juventus;D;0.0;0.0;4.0;0
Nelsson;Roma;D;0.0;0.0;4.0;0
Posch;Atalanta;D;5.75;5.69;3.0;8
Goldaniga;Como;D;5.71;5.47;3.0;17
Pongracic;Fiorentina;D;5.88;5.62;3.0;4
Patric;Lazio;D;5.62;5.88;3.0;8
Calabria;Bologna;D;5.9;5.9;3.0;5
D'Ambrosio;Monza;D;5.64;5.45;3.0;11
Coulibaly W.;Parma;D;5.54;5.36;;14
Ebosele;Udinese;D;0.0;0.0;;0
Magnani;Verona;D;5.29;5.43;;14
Ceccherini;Verona;D;0.0;0.0;;0
Abankwah;Udinese;D;6.25;6.0;;2
Abdulhamid;Roma;D;5.67;6.0;3.0;3
Bradaric;Verona;D;5.47;5.33;3.0;15
Daniliuc;Verona;D;5.46;5.46;3.0;12
Toure' I.s.;Udinese;D;5.59;5.41;3.0;11
Valle;Como;D;5.75;5.5;3.0;2
Scalvini;Atalanta;D;5.5;5.25;2.0;4
Toloi;Atalanta;D;5.5;5.5;2.0;3
Godfrey;Atalanta;D;6.0;6.0;;1
Wieteska;Cagliari;D;5.6;5.5;;5
Hatzidiakos;Cagliari;D;0.0;0.0;;0
Azzi;Cagliari;D;6.0;5.83;;6
Barba;Como;D;5.42;5.42;;6
Marcandalli;Venezia;D;5.5;5.5;2.0;1
Matturro;Genoa;D;5.62;5.56;2.0;8
Terracciano F.;Milan;D;5.71;5.57;2.0;7
Bettella;Monza;D;0.0;0.0;;0
Caldirola;Monza;D;5.71;5.64;2.0;7
Mazzocchi;Napoli;D;5.71;5.64;2.0;7
Kumbulla;Roma;D;0.0;0.0;;0
Dahl;Roma;D;6.0;6.0;;2
Giannetti L.;Udinese;D;5.68;5.41;2.0;11
Candela;Venezia;D;5.46;5.25;;14
Dawidowicz;Verona;D;5.31;5.04;2.0;13
Faraoni;Verona;D;5.5;5.5;2.0;4
Esteves G.;Udinese;D;0.0;0.0;;0
Marianucci;Empoli;D;5.5;5.5;2.0;2
Leoni;Parma;D;5.5;5.5;2.0;5
Carboni F.;Venezia;D;5.83;5.67;2.0;3
Palacios T.;Monza;D;5.5;5.5;2.0;1
Bartesaghi;Milan;D;5.0;4.5;2.0;2
Hermoso;Roma;D;5.12;4.88;;4
Ahanor;Genoa;D;6.0;6.0;2.0;2
Valentini N.;Verona;D;0.0;0.0;2.0;0
Lovik;Parma;D;5.5;5.5;2.0;1
Otoa;Genoa;D;0.0;0.0;2.0;0
